id,store_name,domain,store_type,city,state,website,guessed_email,product_fit,mx_status,evidence_url,contact_form_url,recommended_action,notes
166,31st Century Toys & Comics,31st-century.com,toy / game store,Kansas City,MO,https://www.31st-century.com/,info@31st-century.com,both,?,https://www.31st-century.com/,,review, | GUESSED: info@31st-century.com not on site | GUESSED: info@31st-century.com n
269,Arizona Toy Exchange,aztoyexchange.com,toy / game store,Phoenix,AZ,https://www.aztoyexchange.com/,info@aztoyexchange.com,both,?,https://www.aztoyexchange.com/,,review, | GUESSED: info@aztoyexchange.com not on site | GUESSED: info@aztoyexchange.com
231,Asgard Games,asgardgames.com,board game store,Houston,TX,https://www.asgardgames.com/,info@asgardgames.com,card_games,?,https://www.asgardgames.com/,,review," | downgraded: guessed_or_unverified_email, needs email verification on official"
157,At Ease Games,ateasegames.com,board game store,San Diego,CA,https://www.ateasegames.com/,info@ateasegames.com,card_games,?,https://www.ateasegames.com/,,review, | GUESSED: info@ateasegames.com not on site | GUESSED: info@ateasegames.com not
106,Austin Books & Comics,austinbookscomics.com,comic / game store,Austin,TX,https://www.austinbookscomics.com/,info@austinbookscomics.com,card_games,?,https://www.austinbookscomics.com/,,review, | GUESSED: info@austinbookscomics.com not on site | GUESSED: info@austinbooksco
165,B Plus Comics,bpluscomics.com,comic / game store,New Orleans,LA,https://www.bpluscomics.com/,info@bpluscomics.com,card_games,?,https://www.bpluscomics.com/,,review, | GUESSED: info@bpluscomics.com not on site | GUESSED: info@bpluscomics.com not
283,Beans & Ice Cream Toys,beansandicecream.com,independent toy store,Madison,WI,https://www.beansandicecream.com/,info@beansandicecream.com,both,?,https://www.beansandicecream.com/,,review, | GUESSED: info@beansandicecream.com not on site | GUESSED: info@beansandicecre
223,Black & Read,blackandread.com,board game / used store,Denver,CO,https://www.blackandread.com/,info@blackandread.com,card_games,?,https://www.blackandread.com/,,review, | GUESSED: info@blackandread.com not on site | GUESSED: info@blackandread.com n
271,Bold City Games,boldcitygames.com,board game store,Jacksonville,FL,https://www.boldcitygames.com/,info@boldcitygames.com,card_games,?,https://www.boldcitygames.com/,,review, | GUESSED: info@boldcitygames.com not on site | GUESSED: info@boldcitygames.com
214,Bonny's Toys & Games,bonnystoys.com,independent toy store,Evanston,IL,https://www.bonnystoys.com/,info@bonnystoys.com,both,?,https://www.bonnystoys.com/,,review, | GUESSED: info@bonnystoys.com not on site | GUESSED: info@bonnystoys.com not o
293,Brilliant Sky Toys,brilliantskytoys.com,educational toy store,Austin,TX,https://www.brilliantskytoys.com/,info@brilliantskytoys.com,both,?,https://www.brilliantskytoys.com/,,review,AUDIT: Website bskytoys.com has contact page at /pages/contact-us with only a fo
158,Brookhurst Hobbies,brookhursthobbies.com,toy / game / hobby store,Huntington Beach,CA,https://www.brookhursthobbies.com/,info@brookhursthobbies.com,both,?,https://www.brookhursthobbies.com/,,review, | GUESSED: info@brookhursthobbies.com not on site | GUESSED: info@brookhursthob
